time,last,diff,position,thrust,set,loop,update
1520599542735744,0,1520599542735744,0.07007147903355121,23.180882356125274,10.0,291,false
1520599542736762,0,1520599542736762,0.07150496688293127,23.16511224347142,10.0,292,false
1520599542737781,0,1520599542737781,0.07295535710190253,23.141260139646608,10.0,293,false
1520599542738797,0,1520599542738797,0.07441549935625884,23.123140827141185,10.0,294,false
1520599542739814,0,1520599542739814,0.07588986195431977,23.09937959407144,10.0,295,false
1520599542740832,0,1520599542740832,0.07737876948422552,23.084531752651582,10.0,296,false
1520599542741848,0,1520599542741848,0.07888029163423603,23.064062827542017,10.0,297,false
1520599542742866,0,1520599542742866,0.0803965769947131,23.043151656033295,10.0,298,false
1520599542743883,0,1520599542743883,0.08192648390036507,23.02462168749683,10.0,299,false
1520599542744901,0,1520599542744901,0.08347050011457584,23.003368921355843,10.0,300,false
1520599542745918,0,1520599542745918,0.08502830048561084,22.98350902997634,10.0,301,false
1520599542746935,0,1520599542746935,0.08659839880968302,22.963004006690042,10.0,302,false
1520599542747953,0,1520599542747953,0.08818315127621462,22.942870806902455,10.0,303,false
1520599542748982,0,1520599542748982,0.08979923430705204,22.924564459956933,10.0,304,false
1520599542749987,0,1520599542749987,0.09139177782520627,22.903276082398893,10.0,305,false
1520599542751005,0,1520599542751005,0.09301824251275762,22.861063689519703,10.0,306,false
1520599542752022,0,1520599542752022,0.09465570791494954,22.88749758239705,10.0,307,false
1520599542753040,0,1520599542753040,0.09630976495484417,22.842020657109977,10.0,308,false
1520599542754057,0,1520599542754057,0.09797436214011668,22.825166634731904,10.0,309,false
1520599542755074,0,1520599542755074,0.09965217179641535,22.801282314027116,10.0,310,false
1520599542756092,0,1520599542756092,0.10134609444691682,22.784935841906552,10.0,311,false
1520599542757108,0,1520599542757108,0.10304975506447867,22.765215763763162,10.0,312,false
1520599542758125,0,1520599542758125,0.10476875523037309,22.741829579776063,10.0,313,false
1520599542759143,0,1520599542759143,0.10650292939370759,22.72638766443131,10.0,314,false
1520599542760160,0,1520599542760160,0.1082473690293218,22.70390525172606,10.0,315,false
1520599542761177,0,1520599542761177,0.11000604194040717,22.6815916692227,10.0,316,false
1520599542762194,0,1520599542762194,0.11177768851659192,22.665387905048703,10.0,317,false
1520599542763211,0,1520599542763211,0.11356257141994876,22.644188627826782,10.0,318,false
1520599542764227,0,1520599542764227,0.11535997661062736,22.624531252244136,10.0,319,false
1520599542765245,0,1520599542765245,0.11717252859171211,22.60451227976126,10.0,320,false
1520599542766261,0,1520599542766261,0.11899706663403553,22.585354371638065,10.0,321,false
1520599542767279,0,1520599542767279,0.12083586900870176,22.56287778642175,10.0,322,false
1520599542768296,0,1520599542768296,0.1226872749464939,22.54432196506319,10.0,323,false
1520599542769312,0,1520599542769312,0.12455077188599958,22.522882460111052,10.0,324,false
1520599542770330,0,1520599542770330,0.12642941475593258,22.503487222630962,10.0,325,false
1520599542771347,0,1520599542771347,0.12832014326324623,22.48470227306187,10.0,326,false
1520599542772364,0,1520599542772364,0.1302232970497793,22.462060609912708,10.0,327,false
1520599542773380,0,1520599542773380,0.13213919036559463,22.443213909903182,10.0,328,false
1520599542774397,0,1520599542774397,0.13406946267925907,22.423911404084688,10.0,329,false
1520599542775414,0,1520599542775414,0.13601237629449203,22.404184045273418,10.0,330,false
1520599542776432,0,1520599542776432,0.1379696200083823,22.382371210230275,10.0,331,false
1520599542777449,0,1520599542777449,0.1399377699346208,22.36269869799432,10.0,332,false
1520599542778465,0,1520599542778465,0.14191894549165507,22.340879168425186,10.0,333,false
1520599542779484,0,1520599542779484,0.14391751460248545,22.323312034398285,10.0,334,false
1520599542780500,0,1520599542780500,0.14592349686079253,22.30306286511591,10.0,335,false
1520599542781517,0,1520599542781517,0.1479438714535763,22.277310108343016,10.0,336,false
1520599542782534,0,1520599542782534,0.14997749653232562,22.264014126001054,10.0,337,false
1520599542783551,0,1520599542783551,0.15202387035718684,22.241957977036698,10.0,338,false
1520599542784569,0,1520599542784569,0.15408338306011987,22.221295809131266,10.0,339,false
1520599542785587,0,1520599542785587,0.15615810635614222,22.20122873954415,10.0,340,false
1520599542786603,0,1520599542786603,0.15824038825482575,22.18064095185771,10.0,341,false
1520599542787621,0,1520599542787621,0.1603402513825937,22.157425286445687,10.0,342,false
1520599542788638,0,1520599542788638,0.16245150662548427,22.143755504335992,10.0,343,false
1520599542789656,0,1520599542789656,0.16457651476345483,22.11751327613183,10.0,344,false
1520599542790673,0,1520599542790673,0.16671183115970012,22.09897874897433,10.0,345,false
1520599542791690,0,1520599542791690,0.16886093088243614,22.077458652125028,10.0,346,false
1520599542792709,0,1520599542792709,0.17102504453357775,22.060218367109247,10.0,347,false
1520599542793726,0,1520599542793726,0.17319945209098164,22.03859957359579,10.0,348,false
1520599542794742,0,1520599542794742,0.17538404707341596,22.015404776457824,10.0,349,false
1520599542795759,0,1520599542795759,0.17758388438311698,21.99808405478875,10.0,350,false
1520599542796777,0,1520599542796777,0.17979668428830814,21.98087074764073,10.0,351,false
1520599542797794,0,1520599542797794,0.18202018961770167,21.95730048689649,10.0,352,false
1520599542798810,0,1520599542798810,0.18425590001914594,21.936547263101062,10.0,353,false
1520599542799842,0,1520599542799842,0.18653756718785433,21.918588517503604,10.0,354,false
1520599542800845,0,1520599542800845,0.18876815238273595,21.89872447584983,10.0,355,false
1520599542801863,0,1520599542801863,0.19104447891057272,21.836555695090592,10.0,356,false
1520599542802880,0,1520599542802880,0.19333144340138425,21.895812822570615,10.0,357,false
