time,clock,sleep,execute,overrun,type
1520599537421947,1000,878,121,0,1
1520599537421958,1000,878,121,0,2
1520599537421973,1000,878,121,0,3
1520599537421973,1000,878,121,0,4
1520599537422877,1000,887,112,0,0
1520599537422962,1000,887,112,0,1
1520599537422973,1000,887,112,0,2
1520599537422988,1000,887,112,0,3
1520599537422988,1000,887,112,0,4
1520599537423893,1000,887,112,0,0
1520599537423978,1000,887,112,0,1
1520599537423989,1000,887,112,0,2
1520599537424003,1000,887,112,0,3
1520599537424004,1000,887,112,0,4
1520599537424909,1000,888,111,0,0
1520599537424994,1000,888,111,0,1
1520599537425004,1000,888,111,0,2
1520599537425018,1000,888,111,0,3
1520599537425019,1000,888,111,0,4
1520599537425925,1000,888,111,0,0
1520599537426011,1000,888,111,0,1
1520599537426021,1000,888,111,0,2
1520599537426036,1000,888,111,0,3
1520599537426037,1000,888,111,0,4
1520599537426941,1000,887,112,0,0
1520599537427026,1000,887,112,0,1
1520599537427037,1000,887,112,0,2
1520599537427051,1000,887,112,0,3
1520599537427052,1000,887,112,0,4
1520599537427957,1000,888,111,0,0
1520599537428042,1000,888,111,0,1
1520599537428053,1000,888,111,0,2
1520599537428068,1000,888,111,0,3
1520599537428068,1000,888,111,0,4
1520599537428971,1000,887,112,0,0
1520599537429058,1000,887,112,0,1
1520599537429068,1000,887,112,0,2
1520599537429083,1000,887,112,0,3
1520599537429084,1000,887,112,0,4
1520599537429988,1000,887,112,0,0
1520599537430073,1000,887,112,0,1
1520599537430083,1000,887,112,0,2
1520599537430098,1000,887,112,0,3
1520599537430099,1000,887,112,0,4
1520599537431003,1000,888,111,0,0
1520599537431089,1000,888,111,0,1
1520599537431100,1000,888,111,0,2
1520599537431115,1000,888,111,0,3
1520599537431116,1000,888,111,0,4
1520599537432019,1000,887,112,0,0
1520599537432105,1000,887,112,0,1
1520599537432116,1000,887,112,0,2
1520599537432145,1000,887,112,0,3
1520599537432146,1000,887,112,0,4
1520599537433035,1000,872,127,0,0
1520599537433121,1000,872,127,0,1
1520599537433132,1000,872,127,0,2
1520599537433147,1000,872,127,0,3
1520599537433148,1000,872,127,0,4
1520599537434051,1000,886,113,0,0
1520599537434136,1000,886,113,0,1
1520599537434146,1000,886,113,0,2
1520599537434161,1000,886,113,0,3
1520599537434162,1000,886,113,0,4
1520599537435067,1000,888,111,0,0
1520599537435152,1000,888,111,0,1
1520599537435163,1000,888,111,0,2
1520599537435178,1000,888,111,0,3
1520599537435178,1000,888,111,0,4
1520599537436082,1000,887,112,0,0
1520599537436168,1000,887,112,0,1
1520599537436178,1000,887,112,0,2
1520599537436193,1000,887,112,0,3
1520599537436194,1000,887,112,0,4
1520599537437097,1000,888,111,0,0
1520599537437183,1000,888,111,0,1
1520599537437194,1000,888,111,0,2
1520599537437208,1000,888,111,0,3
1520599537437209,1000,888,111,0,4
1520599537438113,1000,887,112,0,0
1520599537438198,1000,887,112,0,1
1520599537438209,1000,887,112,0,2
1520599537438223,1000,887,112,0,3
1520599537438224,1000,887,112,0,4
1520599537439129,1000,887,112,0,0
1520599537439214,1000,887,112,0,1
1520599537439225,1000,887,112,0,2
1520599537439240,1000,887,112,0,3
1520599537439240,1000,887,112,0,4
1520599537440144,1000,887,112,0,0
1520599537440230,1000,887,112,0,1
1520599537440241,1000,887,112,0,2
1520599537440256,1000,887,112,0,3
1520599537440257,1000,887,112,0,4
1520599537441159,1000,887,112,0,0
1520599537441245,1000,887,112,0,1
