i,time,sleep,duration,overruns
641,1711893197892095,9989,10,0
642,1711893197902099,9989,10,0
643,1711893197912102,9989,10,0
644,1711893197922106,9989,10,0
645,1711893197932110,9989,10,0
646,1711893197942114,9989,10,0
647,1711893197952118,9989,10,0
648,1711893197962121,9989,10,0
649,1711893197972125,9989,10,0
650,1711893197982130,9989,10,0
651,1711893197992134,9989,10,0
652,1711893198002138,9989,10,0
653,1711893198012142,9989,10,0
654,1711893198022146,9989,10,0
655,1711893198032149,9989,10,0
656,1711893198042153,9989,10,0
657,1711893198052157,9989,10,0
658,1711893198062160,9989,10,0
659,1711893198072164,9989,10,0
660,1711893198082169,9989,10,0
661,1711893198092173,9989,10,0
662,1711893198102177,9989,10,0
663,1711893198112181,9989,10,0
664,1711893198122184,9989,10,0
665,1711893198132188,9989,10,0
666,1711893198142192,9989,10,0
667,1711893198152195,9989,10,0
668,1711893198162199,9989,10,0
669,1711893198172203,9989,10,0
670,1711893198182207,9989,10,0
671,1711893198192211,9989,10,0
672,1711893198202215,9989,10,0
673,1711893198212219,9989,10,0
674,1711893198222222,9989,10,0
675,1711893198232226,9989,10,0
676,1711893198242230,9989,10,0
677,1711893198252233,9989,10,0
678,1711893198262237,9989,10,0
679,1711893198272241,9989,10,0
680,1711893198282246,9989,10,0
681,1711893198292249,9989,10,0
682,1711893198302253,9989,10,0
683,1711893198312257,9989,10,0
684,1711893198322260,9989,10,0
685,1711893198332264,9989,10,0
686,1711893198342268,9989,10,0
687,1711893198352271,9989,10,0
688,1711893198362275,9989,10,0
689,1711893198372279,9989,10,0
690,1711893198382283,9989,10,0
691,1711893198392287,9989,10,0
692,1711893198402291,9989,10,0
693,1711893198412294,9989,10,0
694,1711893198422298,9989,10,0
695,1711893198432302,9982,17,0
696,1711893198442306,9989,10,0
697,1711893198452310,9989,10,0
698,1711893198462313,9989,10,0
699,1711893198472317,9989,10,0
700,1711893198482322,9989,10,0
701,1711893198492326,9989,10,0
702,1711893198502329,9989,10,0
703,1711893198512333,9989,10,0
704,1711893198522336,9989,10,0
705,1711893198532340,9989,10,0
706,1711893198542344,9989,10,0
707,1711893198552347,9989,10,0
708,1711893198562355,9989,10,0
709,1711893198572360,9984,15,0
710,1711893198582366,9989,10,0
711,1711893198592371,9989,10,0
712,1711893198602374,9989,10,0
713,1711893198612378,9989,10,0
714,1711893198622382,9989,10,0
715,1711893198632385,9989,10,0
716,1711893198642389,9989,10,0
717,1711893198652392,9989,10,0
718,1711893198662396,9989,10,0
719,1711893198672400,9989,10,0
720,1711893198682404,9989,10,0
721,1711893198692408,9989,10,0
722,1711893198702412,9989,10,0
723,1711893198712415,9989,10,0
724,1711893198722419,9989,10,0
725,1711893198732422,9989,10,0
726,1711893198742426,9989,10,0
727,1711893198752429,9989,10,0
728,1711893198762433,9989,10,0
729,1711893198772437,9989,10,0
730,1711893198782442,9989,10,0
731,1711893198792446,9990,9,0
732,1711893198802449,9989,10,0
733,1711893198812453,9989,10,0
734,1711893198822456,9989,10,0
735,1711893198832460,9989,10,0
736,1711893198842464,9989,10,0
737,1711893198852467,9989,10,0
738,1711893198862471,9989,10,0
739,1711893198872474,9989,10,0
740,1711893198882479,9989,10,0
741,1711893198892483,9989,10,0
742,1711893198902486,9989,10,0
743,1711893198912490,9989,10,0
744,1711893198922494,9989,10,0
745,1711893198932497,9989,10,0
746,1711893198942501,9989,10,0
747,1711893198952504,9989,10,0
748,1711893198962508,9989,10,0
749,1711893198972511,9989,10,0
750,1711893198982516,9989,10,0
751,1711893198992520,9989,10,0
752,1711893199002524,9989,10,0
753,1711893199012527,9989,10,0
754,1711893199022531,9989,10,0
755,1711893199032534,9989,10,0
756,1711893199042538,9989,10,0
757,1711893199052541,9989,10,0
758,1711893199062545,9989,10,0
759,1711893199072549,9989,10,0
760,1711893199082553,9989,10,0
761,1711893199092557,9989,10,0
762,1711893199102561,9989,10,0
763,1711893199112564,9989,10,0
764,1711893199122569,9989,10,0
765,1711893199132572,9989,10,0
766,1711893199142576,9989,10,0
767,1711893199152579,9989,10,0
768,1711893199162583,9990,9,0
769,1711893199172586,9989,10,0
770,1711893199182591,9989,10,0
771,1711893199192595,9989,10,0
772,1711893199202598,9989,10,0
773,1711893199212602,9989,10,0
774,1711893199222606,9989,10,0
775,1711893199232609,9989,10,0
776,1711893199242613,9989,10,0
777,1711893199252616,9989,10,0
778,1711893199262620,9989,10,0
779,1711893199272623,9989,10,0
780,1711893199282628,9989,10,0
781,1711893199292632,9989,10,0
782,1711893199302636,9989,10,0
783,1711893199312639,9989,10,0
784,1711893199322643,9989,10,0
785,1711893199332646,9989,10,0
786,1711893199342650,9989,10,0
787,1711893199352653,9989,10,0
788,1711893199362657,9989,10,0
789,1711893199372661,9989,10,0
790,1711893199382665,9989,10,0
791,1711893199392669,9989,10,0
792,1711893199402673,9989,10,0
793,1711893199412677,9989,10,0
794,1711893199422680,9989,10,0
795,1711893199432684,9989,10,0
796,1711893199442687,9989,10,0
797,1711893199452691,9989,10,0
798,1711893199462694,9989,10,0
799,1711893199472698,9989,10,0
800,1711893199482703,9989,10,0
801,1711893199492707,9989,10,0
802,1711893199502711,9989,10,0
803,1711893199512714,9989,10,0
804,1711893199522718,9989,10,0
805,1711893199532722,9989,10,0
806,1711893199542726,9989,10,0
807,1711893199552730,9989,10,0
808,1711893199562734,9989,10,0
809,1711893199572738,9989,10,0
810,1711893199582743,9989,10,0
811,1711893199592747,9988,11,0
812,1711893199602751,9989,10,0
813,1711893199612754,9989,10,0
814,1711893199622758,9989,10,0
815,1711893199632762,9989,10,0
816,1711893199642766,9989,10,0
817,1711893199652770,9989,10,0
818,1711893199662773,9989,10,0
819,1711893199672777,9989,10,0
820,1711893199682782,9989,10,0
821,1711893199692786,9989,10,0
822,1711893199702790,9989,10,0
823,1711893199712794,9989,10,0
824,1711893199722797,9989,10,0
825,1711893199732801,9989,10,0
826,1711893199742805,9989,10,0
827,1711893199752809,9989,10,0
828,1711893199762813,9989,10,0
829,1711893199772816,9989,10,0
830,1711893199782821,9989,10,0
831,1711893199792826,9989,10,0
832,1711893199802830,9989,10,0
833,1711893199812833,9989,10,0
834,1711893199822837,9989,10,0
835,1711893199832841,9989,10,0
836,1711893199842845,9989,10,0
837,1711893199852848,9989,10,0
838,1711893199862852,9989,10,0
839,1711893199872856,9989,10,0
840,1711893199882861,9989,10,0
841,1711893199892865,9989,10,0
842,1711893199902869,9989,10,0
843,1711893199912873,9989,10,0
844,1711893199922876,9989,10,0
845,1711893199932880,9989,10,0
846,1711893199942884,9989,10,0
847,1711893199952888,9989,10,0
848,1711893199962892,9989,10,0
849,1711893199972895,9989,10,0
850,1711893199982900,9989,10,0
851,1711893199992904,9989,10,0
852,1711893200002908,9989,10,0
853,1711893200012912,9989,10,0
854,1711893200022916,9989,10,0
855,1711893200032919,9989,10,0
856,1711893200042923,9989,10,0
857,1711893200052927,9989,10,0
858,1711893200062930,9989,10,0
