index,time,sleep,duration,overruns
3190,1712169381987737,998,1,0
3191,1712169381988741,998,1,0
3192,1712169381989744,998,1,0
3193,1712169381990747,998,1,0
3194,1712169381991751,998,1,0
3195,1712169381992754,998,1,0
3196,1712169381993757,998,1,0
3197,1712169381994761,998,1,0
3198,1712169381995764,998,1,0
3199,1712169381996767,998,1,0
3200,1712169381997772,998,1,0
3201,1712169381998775,998,1,0
3202,1712169381999779,998,1,0
3203,1712169382000782,998,1,0
3204,1712169382001785,998,1,0
3205,1712169382002789,998,1,0
3206,1712169382003792,998,1,0
3207,1712169382004795,998,1,0
3208,1712169382005799,998,1,0
3209,1712169382006802,998,1,0
3210,1712169382007805,998,1,0
3211,1712169382008809,998,1,0
3212,1712169382009812,998,1,0
3213,1712169382010816,998,1,0
3214,1712169382011819,998,1,0
3215,1712169382012822,998,1,0
3216,1712169382013825,998,1,0
3217,1712169382014829,998,1,0
3218,1712169382015832,998,1,0
3219,1712169382016835,998,1,0
3220,1712169382017839,998,1,0
3221,1712169382018842,998,1,0
3222,1712169382019846,998,1,0
3223,1712169382020849,998,1,0
3224,1712169382021852,998,1,0
3225,1712169382022856,998,1,0
3226,1712169382023859,998,1,0
3227,1712169382024862,998,1,0
3228,1712169382025865,998,1,0
3229,1712169382026869,998,1,0
3230,1712169382027872,998,1,0
3231,1712169382028875,998,1,0
3232,1712169382029879,998,1,0
3233,1712169382030882,998,1,0
3234,1712169382031886,998,1,0
3235,1712169382032889,998,1,0
3236,1712169382033892,998,1,0
3237,1712169382034896,998,1,0
3238,1712169382035899,998,1,0
3239,1712169382036902,998,1,0
3240,1712169382037905,998,1,0
3241,1712169382038909,998,1,0
3242,1712169382039912,998,1,0
3243,1712169382040915,998,1,0
3244,1712169382041919,998,1,0
3245,1712169382042922,998,1,0
3246,1712169382043925,998,1,0
3247,1712169382044929,998,1,0
3248,1712169382045932,998,1,0
3249,1712169382046935,998,1,0
3250,1712169382047939,998,1,0
3251,1712169382048942,998,1,0
3252,1712169382049945,998,1,0
3253,1712169382050949,998,1,0
3254,1712169382051952,998,1,0
3255,1712169382052955,998,1,0
3256,1712169382053959,998,1,0
3257,1712169382054962,998,1,0
3258,1712169382055966,998,1,0
3259,1712169382056969,998,1,0
3260,1712169382057972,998,1,0
3261,1712169382058976,998,1,0
3262,1712169382059979,998,1,0
3263,1712169382060982,998,1,0
3264,1712169382061985,998,1,0
3265,1712169382062989,998,1,0
3266,1712169382063992,998,1,0
3267,1712169382064995,998,1,0
3268,1712169382065999,998,1,0
3269,1712169382067002,998,1,0
3270,1712169382068005,998,1,0
3271,1712169382069009,998,1,0
3272,1712169382070012,998,1,0
3273,1712169382071015,998,1,0
3274,1712169382072019,998,1,0
3275,1712169382073022,998,1,0
3276,1712169382074025,998,1,0
3277,1712169382075029,998,1,0
3278,1712169382076032,998,1,0
3279,1712169382077035,998,1,0
3280,1712169382078039,998,1,0
3281,1712169382079042,998,1,0
