index,time
7937,1712169386750407
7938,1712169386751410
7939,1712169386752413
7940,1712169386753417
7941,1712169386754421
7942,1712169386755424
7943,1712169386756427
7944,1712169386757430
7945,1712169386758434
7946,1712169386759437
7947,1712169386760441
7948,1712169386761444
7949,1712169386762448
7950,1712169386763451
7951,1712169386764454
7952,1712169386765457
7953,1712169386766461
7954,1712169386767465
7955,1712169386768468
7956,1712169386769471
7957,1712169386770475
7958,1712169386771478
7959,1712169386772481
7960,1712169386773485
7961,1712169386774489
7962,1712169386775492
7963,1712169386776495
7964,1712169386777498
7965,1712169386778502
7966,1712169386779505
7967,1712169386780509
7968,1712169386781512
7969,1712169386782516
7970,1712169386783519
7971,1712169386784522
7972,1712169386785526
7973,1712169386786529
7974,1712169386787533
7975,1712169386788536
7976,1712169386789539
7977,1712169386790543
7978,1712169386791546
7979,1712169386792549
7980,1712169386793553
7981,1712169386794557
7982,1712169386795560
7983,1712169386796563
7984,1712169386797566
7985,1712169386798570
7986,1712169386799573
7987,1712169386800577
7988,1712169386801580
7989,1712169386802584
7990,1712169386803587
7991,1712169386804590
7992,1712169386805594
7993,1712169386806598
7994,1712169386807601
7995,1712169386808604
7996,1712169386809607
7997,1712169386810611
7998,1712169386811614
7999,1712169386812617
8000,1712169386813622
8001,1712169386814626
8002,1712169386815629
8003,1712169386816632
8004,1712169386817636
8005,1712169386818640
8006,1712169386819643
8007,1712169386820646
8008,1712169386821649
8009,1712169386822653
8010,1712169386823657
8011,1712169386824660
8012,1712169386825663
8013,1712169386826667
8014,1712169386827670
8015,1712169386828673
8016,1712169386829677
8017,1712169386830681
8018,1712169386831684
8019,1712169386832687
8020,1712169386833690
8021,1712169386834694
8022,1712169386835697
8023,1712169386836701
8024,1712169386837704
8025,1712169386838708
8026,1712169386839711
8027,1712169386840714
8028,1712169386841717
8029,1712169386842721
8030,1712169386843724
8031,1712169386844728
8032,1712169386845731
8033,1712169386846735
8034,1712169386847738
8035,1712169386848741
8036,1712169386849745
8037,1712169386850749
8038,1712169386851752
8039,1712169386852755
8040,1712169386853758
8041,1712169386854762
8042,1712169386855765
8043,1712169386856768
8044,1712169386857772
8045,1712169386858776
8046,1712169386859779
8047,1712169386860782
8048,1712169386861785
8049,1712169386862789
8050,1712169386863792
8051,1712169386864795
8052,1712169386865799
8053,1712169386866803
8054,1712169386867806
8055,1712169386868809
8056,1712169386869812
8057,1712169386870816
8058,1712169386871819
8059,1712169386872822
8060,1712169386873825
8061,1712169386874830
8062,1712169386875833
8063,1712169386876836
8064,1712169386877839
8065,1712169386878844
8066,1712169386879847
8067,1712169386880850
8068,1712169386881853
8069,1712169386882857
8070,1712169386883861
8071,1712169386884864
8072,1712169386885867
8073,1712169386886871
8074,1712169386887874
8075,1712169386888877
8076,1712169386889881
8077,1712169386890885
8078,1712169386891888
8079,1712169386892891
8080,1712169386893894
8081,1712169386894898
8082,1712169386895901
8083,1712169386896905
8084,1712169386897908
8085,1712169386898912
8086,1712169386899915
8087,1712169386900918
8088,1712169386901922
8089,1712169386902925
8090,1712169386903929
8091,1712169386904932
8092,1712169386905935
8093,1712169386906939
8094,1712169386907942
8095,1712169386908945
8096,1712169386909949
8097,1712169386910953
8098,1712169386911956
8099,1712169386912959
8100,1712169386913963
8101,1712169386914968
8102,1712169386915971
8103,1712169386916974
8104,1712169386917977
8105,1712169386918981
8106,1712169386919984
8107,1712169386920988
8108,1712169386921991
8109,1712169386922995
8110,1712169386923998
8111,1712169386925001
8112,1712169386926005
8113,1712169386927009
8114,1712169386928012
8115,1712169386929015
8116,1712169386930018
8117,1712169386931022
8118,1712169386932025
8119,1712169386933029
8120,1712169386934032
8121,1712169386935036
8122,1712169386936039
8123,1712169386937042
8124,1712169386938046
8125,1712169386939049
8126,1712169386940053
8127,1712169386941056
8128,1712169386942059
8129,1712169386943063
8130,1712169386944066
8131,1712169386945069
8132,1712169386946073
8133,1712169386947077
8134,1712169386948080
8135,1712169386949083
8136,1712169386950086
8137,1712169386951090
8138,1712169386952093
8139,1712169386953097
8140,1712169386954100
8141,1712169386955104
8142,1712169386956107
8143,1712169386957110
8144,1712169386958114
8145,1712169386959117
8146,1712169386960121
8147,1712169386961124
8148,1712169386962127
8149,1712169386963131
8150,1712169386964134
8151,1712169386965137
8152,1712169386966141
8153,1712169386967145
8154,1712169386968148
8155,1712169386969151
8156,1712169386970154
8157,1712169386971158
8158,1712169386972161
8159,1712169386973165
8160,1712169386974168
8161,1712169386975172
8162,1712169386976175
8163,1712169386977178
8164,1712169386978181
8165,1712169386979185
8166,1712169386980189
8167,1712169386981192
8168,1712169386982195
8169,1712169386983199
8170,1712169386984202
8171,1712169386985205
8172,1712169386986209
8173,1712169386987213
8174,1712169386988216
8175,1712169386989219
8176,1712169386990222
8177,1712169386991226
8178,1712169386992229
8179,1712169386993232
8180,1712169386994235
8181,1712169386995239
8182,1712169386996242
8183,1712169386997245
8184,1712169386998249
8185,1712169386999252
8186,1712169387000256
8187,1712169387001259
8188,1712169387002262
8189,1712169387003266
8190,1712169387004269
8191,1712169387005275
8192,1712169387006297
8193,1712169387007279
8194,1712169387008282
8195,1712169387009285
8196,1712169387010287
8197,1712169387011290
8198,1712169387012292
8199,1712169387013295
8200,1712169387014299
8201,1712169387015303
8202,1712169387016305
8203,1712169387017308
8204,1712169387018310
8205,1712169387019314
8206,1712169387020317
8207,1712169387021320
8208,1712169387022324
8209,1712169387023327
8210,1712169387024330
8211,1712169387025334
8212,1712169387026337
8213,1712169387027341
8214,1712169387028344
8215,1712169387029347
8216,1712169387030350
8217,1712169387031354
8218,1712169387032357
8219,1712169387033360
8220,1712169387034364
8221,1712169387035367
8222,1712169387036370
8223,1712169387037374
8224,1712169387038377
8225,1712169387039381
8226,1712169387040384
8227,1712169387041387
8228,1712169387042390
8229,1712169387043394
8230,1712169387044397
8231,1712169387045400
8232,1712169387046405
8233,1712169387047408
8234,1712169387048411
8235,1712169387049414
8236,1712169387050418
8237,1712169387051421
8238,1712169387052425
8239,1712169387053428
8240,1712169387054432
8241,1712169387055435
8242,1712169387056438
8243,1712169387057442
8244,1712169387058446
8245,1712169387059449
8246,1712169387060452
8247,1712169387061455
8248,1712169387062459
8249,1712169387063462
8250,1712169387064465
8251,1712169387065469
8252,1712169387066473
8253,1712169387067476
8254,1712169387068479
8255,1712169387069482
8256,1712169387070486
8257,1712169387071489
8258,1712169387072493
8259,1712169387073496
8260,1712169387074500
8261,1712169387075503
8262,1712169387076506
8263,1712169387077510
8264,1712169387078513
8265,1712169387079517
8266,1712169387080520
8267,1712169387081523
8268,1712169387082527
8269,1712169387083530
8270,1712169387084533
8271,1712169387085537
8272,1712169387086541
8273,1712169387087544
8274,1712169387088547
8275,1712169387089550
8276,1712169387090554
8277,1712169387091557
8278,1712169387092561
8279,1712169387093564
8280,1712169387094568
8281,1712169387095571
8282,1712169387096574
8283,1712169387097577
8284,1712169387098581
8285,1712169387099584
8286,1712169387100588
8287,1712169387101591
8288,1712169387102595
8289,1712169387103598
8290,1712169387104602
8291,1712169387105605
8292,1712169387106609
8293,1712169387107612
8294,1712169387108615
8295,1712169387109619
8296,1712169387110622
8297,1712169387111626
8298,1712169387112629
8299,1712169387113632
8300,1712169387114637
8301,1712169387115641
8302,1712169387116644
8303,1712169387117647
8304,1712169387118651
8305,1712169387119654
8306,1712169387120658
8307,1712169387121661
8308,1712169387122665
8309,1712169387123668
8310,1712169387124671
8311,1712169387125675
8312,1712169387126679
8313,1712169387127682
8314,1712169387128685
8315,1712169387129688
8316,1712169387130692
8317,1712169387131695
8318,1712169387132699
8319,1712169387133702
8320,1712169387134706
8321,1712169387135709
8322,1712169387136712
8323,1712169387137716
8324,1712169387138719
8325,1712169387139723
8326,1712169387140726
8327,1712169387141729
8328,1712169387142733
8329,1712169387143736
8330,1712169387144739
8331,1712169387145743
8332,1712169387146747
8333,1712169387147750
8334,1712169387148753
8335,1712169387149756
8336,1712169387150760
8337,1712169387151764
8338,1712169387152767
8339,1712169387153770
8340,1712169387154774
8341,1712169387155777
8342,1712169387156780
8343,1712169387157784
8344,1712169387158788
8345,1712169387159791
8346,1712169387160794
8347,1712169387161797
8348,1712169387162801
8349,1712169387163804
8350,1712169387164808
8351,1712169387165811
8352,1712169387166815
8353,1712169387167818
8354,1712169387168821
8355,1712169387169824
8356,1712169387170828
8357,1712169387171831
8358,1712169387172835
8359,1712169387173838
8360,1712169387174842
8361,1712169387175845
8362,1712169387176848
8363,1712169387177852
8364,1712169387178856
8365,1712169387179859
8366,1712169387180862
8367,1712169387181865
8368,1712169387182869
8369,1712169387183872
8370,1712169387184875
8371,1712169387185879
8372,1712169387186883
8373,1712169387187886
8374,1712169387188889
8375,1712169387189892
8376,1712169387190896
8377,1712169387191900
8378,1712169387192903
8379,1712169387193906
8380,1712169387194910
8381,1712169387195913
8382,1712169387196916
8383,1712169387197920
8384,1712169387198924
8385,1712169387199927
8386,1712169387200930
8387,1712169387201933
8388,1712169387202937
8389,1712169387203940
8390,1712169387204944
8391,1712169387205947
8392,1712169387206951
8393,1712169387207954
8394,1712169387208957
8395,1712169387209960
8396,1712169387210964
8397,1712169387211968
8398,1712169387212971
8399,1712169387213974
8400,1712169387214979
8401,1712169387215983
8402,1712169387216986
8403,1712169387217989
8404,1712169387218993
8405,1712169387219996
8406,1712169387220999
8407,1712169387222003
8408,1712169387223007
8409,1712169387224010
8410,1712169387225013
8411,1712169387226016
8412,1712169387227020
8413,1712169387228023
8414,1712169387229027
8415,1712169387230030
8416,1712169387231034
8417,1712169387232037
8418,1712169387233040
8419,1712169387234044
8420,1712169387235047
8421,1712169387236051
8422,1712169387237054
8423,1712169387238057
8424,1712169387239061
8425,1712169387240064
8426,1712169387241067
8427,1712169387242071
8428,1712169387243075
8429,1712169387244078
8430,1712169387245081
8431,1712169387246084
8432,1712169387247088
8433,1712169387248091
8434,1712169387249095
8435,1712169387250098
8436,1712169387251102
8437,1712169387252105
8438,1712169387253108
8439,1712169387254111
8440,1712169387255115
8441,1712169387256118
8442,1712169387257122
8443,1712169387258125
8444,1712169387259129
8445,1712169387260132
8446,1712169387261135
8447,1712169387262139
8448,1712169387263143
8449,1712169387264146
8450,1712169387265149
8451,1712169387266152
8452,1712169387267156
8453,1712169387268159
8454,1712169387269163
8455,1712169387270166
8456,1712169387271170
8457,1712169387272173
8458,1712169387273176
8459,1712169387274179
8460,1712169387275183
8461,1712169387276187
8462,1712169387277190
8463,1712169387278193
8464,1712169387279197
8465,1712169387280200
8466,1712169387281203
8467,1712169387282207
8468,1712169387283211
8469,1712169387284214
8470,1712169387285217
8471,1712169387286220
8472,1712169387287224
8473,1712169387288227
8474,1712169387289231
8475,1712169387290234
8476,1712169387291238
8477,1712169387292241
8478,1712169387293244
8479,1712169387294247
8480,1712169387295251
8481,1712169387296255
8482,1712169387297258
8483,1712169387298261
8484,1712169387299265
8485,1712169387300268
8486,1712169387301271
8487,1712169387302275
8488,1712169387303278
8489,1712169387304281
8490,1712169387305285
8491,1712169387306288
8492,1712169387307292
8493,1712169387308295
8494,1712169387309298
8495,1712169387310302
8496,1712169387311306
8497,1712169387312309
8498,1712169387313312
8499,1712169387314315
8500,1712169387315320
8501,1712169387316324
8502,1712169387317327
8503,1712169387318330
8504,1712169387319334
8505,1712169387320337
8506,1712169387321340
8507,1712169387322344
8508,1712169387323348
8509,1712169387324351
8510,1712169387325354
8511,1712169387326357
8512,1712169387327361
8513,1712169387328364
8514,1712169387329367
8515,1712169387330371
8516,1712169387331374
8517,1712169387332378
8518,1712169387333381
8519,1712169387334384
8520,1712169387335388
8521,1712169387336391
8522,1712169387337394
8523,1712169387338398
8524,1712169387339401
8525,1712169387340405
8526,1712169387341408
8527,1712169387342412
8528,1712169387343415
8529,1712169387344418
8530,1712169387345422
8531,1712169387346426
8532,1712169387347429
8533,1712169387348432
8534,1712169387349435
8535,1712169387350439
8536,1712169387351442
8537,1712169387352445
8538,1712169387353449
8539,1712169387354453
8540,1712169387355456
8541,1712169387356459
8542,1712169387357462
8543,1712169387358466
8544,1712169387359469
8545,1712169387360473
8546,1712169387361476
8547,1712169387362480
8548,1712169387363483
8549,1712169387364486
8550,1712169387365490
8551,1712169387366494
8552,1712169387367497
8553,1712169387368500
8554,1712169387369503
8555,1712169387370507
8556,1712169387371510
8557,1712169387372514
8558,1712169387373517
8559,1712169387374521
8560,1712169387375524
8561,1712169387376527
8562,1712169387377531
8563,1712169387378534
8564,1712169387379537
8565,1712169387380541
8566,1712169387381544
8567,1712169387382548
8568,1712169387383551
8569,1712169387384554
8570,1712169387385557
8571,1712169387386561
8572,1712169387387565
8573,1712169387388568
8574,1712169387389571
8575,1712169387390575
8576,1712169387391579
8577,1712169387392582
8578,1712169387393585
8579,1712169387394589
8580,1712169387395592
8581,1712169387396596
8582,1712169387397599
8583,1712169387398603
8584,1712169387399606
8585,1712169387400609
8586,1712169387401612
8587,1712169387402616
8588,1712169387403620
8589,1712169387404623
8590,1712169387405626
8591,1712169387406630
8592,1712169387407633
8593,1712169387408636
8594,1712169387409640
8595,1712169387410644
8596,1712169387411647
8597,1712169387412650
8598,1712169387413653
8599,1712169387414657
8600,1712169387415661
8601,1712169387416665
8602,1712169387417668
8603,1712169387418672
8604,1712169387419675
8605,1712169387420679
8606,1712169387421682
8607,1712169387422686
8608,1712169387423689
8609,1712169387424692
8610,1712169387425695
8611,1712169387426699
8612,1712169387427702
8613,1712169387428705
8614,1712169387429709
8615,1712169387430712
8616,1712169387431716
8617,1712169387432719
8618,1712169387433722
8619,1712169387434726
8620,1712169387435729
8621,1712169387436732
8622,1712169387437735
8623,1712169387438739
8624,1712169387439742
8625,1712169387440745
8626,1712169387441749
8627,1712169387442752
8628,1712169387443755
8629,1712169387444759
8630,1712169387445762
8631,1712169387446765
8632,1712169387447768
8633,1712169387448771
8634,1712169387449773
8635,1712169387450777
8636,1712169387451780
8637,1712169387452783
8638,1712169387453786
8639,1712169387454790
8640,1712169387455793
8641,1712169387456796
8642,1712169387457799
8643,1712169387458802
8644,1712169387459805
8645,1712169387460808
8646,1712169387461811
8647,1712169387462815
8648,1712169387463818
8649,1712169387464821
8650,1712169387465824
8651,1712169387466827
8652,1712169387467830
8653,1712169387468833
8654,1712169387469837
8655,1712169387470840
8656,1712169387471843
8657,1712169387472846
8658,1712169387473849
8659,1712169387474852
8660,1712169387475855
8661,1712169387476858
8662,1712169387477862
8663,1712169387478865
8664,1712169387479868
8665,1712169387480871
8666,1712169387481874
8667,1712169387482877
8668,1712169387483881
8669,1712169387484884
8670,1712169387485887
8671,1712169387486890
8672,1712169387487893
8673,1712169387488896
8674,1712169387489899
8675,1712169387490903
8676,1712169387491906
8677,1712169387492909
8678,1712169387493912
8679,1712169387494915
8680,1712169387495918
8681,1712169387496921
8682,1712169387497924
8683,1712169387498928
8684,1712169387499931
8685,1712169387500934
8686,1712169387501937
8687,1712169387502940
8688,1712169387503943
8689,1712169387504947
8690,1712169387505950
8691,1712169387506953
8692,1712169387507956
8693,1712169387508959
8694,1712169387509962
8695,1712169387510966
8696,1712169387511969
8697,1712169387512972
8698,1712169387513975
8699,1712169387514978
8700,1712169387515982
8701,1712169387516985
8702,1712169387517989
8703,1712169387518996
8704,1712169387519995
8705,1712169387520998
8706,1712169387522001
8707,1712169387523005
8708,1712169387524008
8709,1712169387525011
8710,1712169387526014
